Nazwa;ISSN
Acoustics;2624599X
Actuators;20760825
Administrative Sciences;20763387
Adolescents;26737051
Aerospace;22264310
Agriculture;20770472
AgriEngineering;26247402
Agronomy;20734395
AI;26732688
Algorithms;19994893
Allergies;23135786
Analytica;26734532
Animals;20762615
Antibiotics;20796382
Antibodies;20734468
Antioxidants;20763921
Applied Mechanics;26733161
Applied Microbiology;26738007
Applied Nano;26733501
Applied Sciences;20763417
Applied System Innovation;25715577
AppliedChem;26739623
Aquaculture Journal;26739496
Architecture;26738945
Arts;20760752
Astronomy;26740346
Atmosphere;20734433
Atoms;22182004
Audiology Research;20394349
Automation;26734052
Axioms;20751680
Batteries;23130105
Behavioral Sciences;2076328X
Beverages;23065710
Big Data and Cognitive Computing;25042289
BioChem;26736411
Bioengineering;23065354
Biologics;26738449
Biology;20797737
Biomass;26738783
Biomechanics;26737078
BioMed;26738430
Biomedicines;22279059
BioMedInformatics;26737426
Biomimetics;23137673
Biomolecules;2218273X
Biophysica;26734125
Biosensors;20796374
BioTech;26736284
Birds;26736004
Brain Sciences;20763425
Buildings;20755309
Businesses;26737116
C;23115629
Cancers;20726694
Cardiogenetics;20358148
Catalysts;20734344
Cells;20734409
Ceramics;25716131
Challenges;20781547
ChemEngineering;23057084
Chemistry;26248549
Chemosensors;22279040
Children;22279067
Chips;26740729
CivilEng;26734109
Clean Technologies;25718797
Climate;22251154
Clinical and Translational Neuroscience;2514183X
Clinics and Practice;20397283
Clocks & Sleep;26245175
Coatings;20796412
Colloids and Interfaces;25045377
Compounds;26736918
Computation;20793197
Computers;2073431X
Condensed Matter;24103896
Conservation;26737159
Construction Materials;26737108
Corrosion and Materials Degradation;26245558
Cosmetics;20799284
COVID;26738112
Crops;26737655
Cryptography;2410387X
Crystals;20734352
Current Issues in Molecular Biology;14673045
Current Oncology;17187729
Dairy;2624862X
Data;23065729
Dentistry Journal;23046767
Dermato;26736179
Dermatopathology;22963529
Designs;24119660
Diabetology;26734540
Diagnostics;20754418
Dietetics;26740311
Digital;26736470
Disabilities;26737272
Diseases;20799721
Diversity;14242818
DNA;26738856
Drones;2504446X
Dynamics;26738716
Earth;26734834
Ecologies;26734133
Econometrics;22251146
Economies;22277099
Education Sciences;22277102
Electricity;26734826
Electrochem;26733293
Electronic Materials;26733978
Electronics;20799292
Encyclopedia;26738392
Endocrines;2673396X
Energies;19961073
Eng;26734117
Entropy;10994300
Environments;20763298
Epidemiologia;26733986
Epigenomes;20754655
European Burn Journal;26731991
European Journal of Investigation in Health, Psychology and Education;22549625
Fermentation;23115637
Fibers;20796439
Fire;25716255
Fishes;24103888
Fluids;23115521
Foods;23048158
Forecasting;25719394
Forensic Sciences;26736756
Forests;19994907
Foundations;26739321
Fractal and Fractional;25043110
Fuels;26733994
Future Internet;19995903
Future Pharmacology;26739879
Future Transportation;26737590
Galaxies;20754434
Games;20734336
Gases;26735628
Gastroenterology Insights;20367422
Gastrointestinal Disorders;26245647
Gels;23102861
Genealogy;23135778
Genes;20734425
Geographies;26737086
GeoHazards;2624795X
Geomatics;26737418
Geosciences;20763263
Geotechnics;26737094
Geriatrics;23083417
Healthcare;22279032
Hearts;26733846
Hemato;26736357
Heritage;25719408
Histories;24099252
Horticulturae;23117524
Humanities;20760787
Humans;26739461
Hydrobiology;26739917
Hydrogen;26734141
Hydrology;23065338
Hygiene;2673947X
Immuno;26735601
Infectious Disease Reports;20367449
Informatics;22279709
Information;20782489
Infrastructures;24123811
Inorganics;23046740
Insects;20754450
Instruments;2410390X
International Journal of Environmental Research and Public Health;16604601
International Journal of Financial Studies;22277072
International Journal of Molecular Sciences;14220067
International Journal of Neonatal Screening;2409515X
International Journal of Translational Medicine;26738937
International Journal of Turbomachinery, Propulsion and Power;2504186X
Inventions;24115134
IoT;2624831X
ISPRS International Journal of GeoInformation;22209964
J;25718800
Journal of Ageing and Longevity;26739259
Journal of Cardiovascular Development and Disease;23083425
Journal of Clinical Medicine;20770383
Journal of Composites Science;2504477X
Journal of Cybersecurity and Privacy;2624800X
Journal of Developmental Biology;22213759
Journal of Functional Biomaterials;20794983
Journal of Functional Morphology and Kinesiology;24115142
Journal of Fungi;2309608X
Journal of Imaging;2313433X
Journal of Intelligence;20793200
Journal of Low Power Electronics and Applications;20799268
Journal of Manufacturing and Materials Processing;25044494
Journal of Marine Science and Engineering;20771312
Journal of Molecular Pathology;26735261
Journal of Nanotheranostics;2624845X
Journal of Nuclear Engineering;26734362
Journal of Open Innovation: Technology, Market, and Complexity;21998531
Journal of Otorhinolaryngology, Hearing and Balance Medicine;2504463X
Journal of Personalized Medicine;20754426
Journal of Respiration;2673527X
Journal of Risk and Financial Management;19118074
Journal of Sensor and Actuator Networks;22242708
Journal of Theoretical and Applied Electronic Commerce Research;07181876
Journal of Xenobiotics;20394713
Journal of Zoological and Botanical Gardens;26735636
Journalism and Media;26735172
Kidney and Dialysis;26738236
Knowledge;26739585
Land;2073445X
Languages;2226471X
Laws;2075471X
Life;20751729
Liquids;26738015
Literature;24109789
Livers;26734389
Logistics;23056290
Lubricants;20754442
Machine Learning and Knowledge Extraction;25044990
Machines;20751702
Macromol;26736209
Magnetism;26738724
Magnetochemistry;23127481
Marine Drugs;16603397
Materials;19961944
Mathematical and Computational Applications;22978747
Mathematics;22277390
Medical Sciences;20763271
Medicina;16489144
Medicines;23056320
Membranes;20770375
Merits;26738104
Metabolites;22181989
Metals;20754701
Meteorology;26740494
Methane;26740389
Methods and Protocols;24099279
Metrology;26738244
Micro;26738023
Microbiology Research;20367481
Micromachines;2072666X
Microorganisms;20762607
Microplastics;26738929
Minerals;2075163X
Mining;26736489
Modelling;26733951
Molbank;14228599
Molecules;14203049
Multimodal Technologies and Interaction;24144088
Nanoenergy Advances;2673706X
Nanomanufacturing;2673687X
Nanomaterials;20794991
Network;26738732
Neuroglia;25716980
Neurology International;20358377
NeuroSci;26734087
Nitrogen;25043129
NonCoding RNA;2311553X
Nursing Reports;20394403
Nutrients;20726643
Obesities;26734168
Oceans;26731924
Onco;26737523
Optics;26733269
Oral;26736373
Organics;2673401X
Osteology;26734036
Oxygen;26739801
Parasitologia;26736772
Particles;2571712X
Pathogens;20760817
Pathophysiology;1873149X
Pediatric Reports;20367503
Pharmaceuticals;14248247
Pharmaceutics;19994923
Pharmacy;22264787
Philosophies;24099287
Photochem;26737256
Photonics;23046732
Phycology;26739410
Physchem;26737167
Physics;26248174
Physiologia;26739488
Plants;22237747
Plasma;25716182
Pollutants;26734672
Polymers;20734360
Polysaccharides;26734176
Processes;22279717
Prosthesis;26731592
Proteomes;22277382
Psych;26248611
Psychiatry International;26735318
Publications;23046775
Quantum Beam Science;2412382X
Quantum Reports;2624960X
Quaternary;2571550X
Radiation;2673592X
Reactions;2624781X
Recycling;23134321
Religions;20771444
Remote Sensing;20724292
Reports;2571841X
Reproductive Medicine;26733897
Resources;20799276
Rheumato;26740621
Risks;22279091
Robotics;22186581
Ruminants;2673933X
Safety;2313576X
Sci;24134155
Scientia Pharmaceutica;22180532
Sensors;14248220
Separations;22978739
Sexes;24115118
Signals;26246120
Sinusitis;2673351X
Smart Cities;26246511
Social Sciences;20760760
Societies;20754698
Soil Systems;25718789
Solar;26739941
Solids;26736497
Sports;20754663
Standards;23056703
Stats;2571905X
Stresses;26737140
Surfaces;25719637
Surgeries;26734095
Sustainability;20711050
Sustainable Chemistry;26734079
Symmetry;20738994
Systems;20798954
Taxonomy;26736500
Technologies;22277080
Telecom;26734001
Textiles;26737248
Thermo;26737264
Tomography;2379139X
Tourism and Hospitality;26735768
Toxics;23056304
Toxins;20726651
Transplantology;26733943
Trauma Care;2673866X
Tropical Medicine and Infectious Disease;24146366
Universe;22181997
Urban Science;24138851
Uro;26734397
Vaccines;2076393X
Vehicles;26248921
Veterinary Sciences;23067381
Vibration;2571631X
Viruses;19994915
Vision;24115150
Water;20734441
Women;26734184
World;26734060
World Electric Vehicle Journal;20326653
Youth;2673995X
Zoonoses;26739968
