Tytul;issn;eissn;punkty;;;;;;;;
2D Materials;2053-1583;;45;;;;;;;;
3 Biotech;2190-5738;;15;;;;;;;;
4OR-A Quarterly Journal of Operations Research;1619-4500;;25;;;;;;;;
AAOHN JOURNAL;0891-0162;;20;;;;;;;;
AAPG BULLETIN;0149-1423;;35;;;;;;;;
AAPS Journal;1550-7416;;45;;;;;;;;
AAPS PHARMSCITECH;1530-9932;;25;;;;;;;;
AATCC Journal of Research;2330-5517;;15;;;;;;;;
AATCC REVIEW;1532-8813;;15;;;;;;;;
Abacus-A Journal of Accounting Finance and Business
Studies;0001-3072;;25;;;;;;;;
ABDOMINAL IMAGING;0942-8925;;25;;;;;;;;
ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR
DER UNIVERSITAT HAMBURG;0025-5858;;20;;;;;;;;
Abstract and Applied Analysis;1085-3375;;40;;;;;;;;
Academia-Revista Latinoamericana de Administracion;1012-8255;;15;;;;;;;;
ACADEMIC EMERGENCY MEDICINE;1069-6563;;40;;;;;;;;
ACADEMIC MEDICINE;1040-2446;;45;;;;;;;;
Academic Pediatrics;1876-2859;;40;;;;;;;;
ACADEMIC PSYCHIATRY;1042-9670;;25;;;;;;;;
ACADEMIC RADIOLOGY;1076-6332;;30;;;;;;;;
Academy of Management Annals;1941-6520;;50;;;;;;;;
ACADEMY OF MANAGEMENT JOURNAL;0001-4273;;50;;;;;;;;
Academy of Management Learning & Education;1537-260X;;45;;;;;;;;
Academy of Management Perspectives;1558-9080;;40;;;;;;;;
ACADEMY OF MANAGEMENT REVIEW;0363-7425;;50;;;;;;;;
ACAROLOGIA;0044-586X;;25;;;;;;;;
ACCIDENT ANALYSIS AND PREVENTION;0001-4575;;45;;;;;;;;
Accountability in Research-Policies and Quality Assurance;0898-9621;;20;;;;;;;;
ACCOUNTING AND BUSINESS RESEARCH;0001-4788;;30;;;;;;;;
Accounting and Finance;0810-5391;;25;;;;;;;;
Accounting Auditing & Accountability Journal;0951-3574;;35;;;;;;;;
Accounting Horizons;0888-7993;;35;;;;;;;;
ACCOUNTING ORGANIZATIONS AND SOCIETY;0361-3682;;45;;;;;;;;
ACCOUNTING REVIEW;0001-4826;;45;;;;;;;;
ACCOUNTS OF CHEMICAL RESEARCH;0001-4842;;50;;;;;;;;
ACCREDITATION AND QUALITY ASSURANCE;0949-1775;;20;;;;;;;;
ACI MATERIALS JOURNAL;0889-325X;;30;;;;;;;;
ACI STRUCTURAL JOURNAL;0889-3241;;30;;;;;;;;
ACM COMPUTING SURVEYS;0360-0300;;50;;;;;;;;
ACM Journal on Emerging Technologies in Computing
Systems;1550-4832;;20;;;;;;;;
ACM SIGCOMM Computer Communication Review;0146-4833;;35;;;;;;;;
ACM SIGPLAN NOTICES;0362-1340;;20;;;;;;;;
ACM Transactions on Algorithms;1549-6325;;25;;;;;;;;
ACM Transactions on Applied Perception;1544-3558;;35;;;;;;;;
ACM Transactions on Architecture and Code Optimization;1544-3566;;20;;;;;;;;
ACM Transactions on Autonomous and Adaptive Systems;1556-4665;;25;;;;;;;;
ACM Transactions on Computational Logic;1529-3785;;40;;;;;;;;
ACM TRANSACTIONS ON COMPUTER SYSTEMS;0734-2071;;40;;;;;;;;
ACM Transactions on Computer-Human Interaction;1073-0516;;30;;;;;;;;
ACM Transactions on Computing Education;1946-6226;;15;;;;;;;;
ACM TRANSACTIONS ON DATABASE SYSTEMS;0362-5915;;30;;;;;;;;
ACM TRANSACTIONS ON DESIGN AUTOMATION OF
ELECTRONIC SYSTEMS;1084-4309;;20;;;;;;;;
ACM Transactions on Embedded Computing Systems;1539-9087;;30;;;;;;;;
ACM TRANSACTIONS ON GRAPHICS;0730-0301;;50;;;;;;;;
ACM Transactions on Information and System Security;1094-9224;;30;;;;;;;;
ACM TRANSACTIONS ON INFORMATION SYSTEMS;1046-8188;;30;;;;;;;;
ACM Transactions on Intelligent Systems and Technology;2157-6904;;50;;;;;;;;
ACM Transactions on Internet Technology;1533-5399;;25;;;;;;;;
ACM Transactions on Knowledge Discovery from Data;1556-4681;;40;;;;;;;;
ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE;0098-3500;;50;;;;;;;;
ACM Transactions on Modeling and Computer Simulation;1049-3301;;25;;;;;;;;
ACM Transactions on Multimedia Computing
Communications and Applications;1551-6857;;30;;;;;;;;
ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND
SYSTEMS;0164-0925;;30;;;;;;;;
ACM Transactions on Reconfigurable Technology and
Systems;1936-7406;;20;;;;;;;;
ACM Transactions on Sensor Networks;1550-4859;;40;;;;;;;;
ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND
METHODOLOGY;1049-331X;;35;;;;;;;;
ACM Transactions on Storage;1553-3077;;25;;;;;;;;
ACM Transactions on the Web;1559-1131;;40;;;;;;;;
