LP.;Nazwa konferencji;Liczba punktów;Przypisane dyscypliny naukowe
1;3-D Digital Imaging and Modelling [3DIM];20;"informatyka techniczna i telekomunikacja;
informatyka;"
2;A Satellite workshop on Formal Approaches to Testing of Software [FATES];20;"informatyka techniczna i telekomunikacja;
informatyka;"
3;Accounting and Finance Association of Australia and New Zealand Conference [AFAANZ];20;"informatyka techniczna i telekomunikacja;
informatyka;"
4;ACIS Conference on Software Engineering Research, Management and Applications [SERA];20;"informatyka techniczna i telekomunikacja;
informatyka;"
5;ACM Annual Computer Science Conference [CSC];20;"informatyka techniczna i telekomunikacja;
informatyka;"
6;ACM Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication [SIGCOMM];200;"informatyka techniczna i telekomunikacja;
informatyka;"
7;ACM Conference on Computer and Communications Security [CCS];200;"informatyka techniczna i telekomunikacja;
informatyka;"
8;ACM Conference on Computer Supported Cooperative Work [CSCW];140;"informatyka techniczna i telekomunikacja;
informatyka;"
9;ACM Conference on Economics and Computation [EC];200;"informatyka techniczna i telekomunikacja;
informatyka;"
10;ACM Conference on Embedded Networked Sensor Systems [SENSYS];200;"informatyka techniczna i telekomunikacja;
informatyka;"
11;ACM Conference on Embedded Software [EMSOFT];140;"informatyka techniczna i telekomunikacja;
informatyka;"
12;ACM Conference on Hypertext and Hypermedia [Hypertext];140;"informatyka techniczna i telekomunikacja;
informatyka;"
13;ACM Conference on Object Oriented Programming Systems Languages and Applications [OOPSLA];200;"informatyka techniczna i telekomunikacja;
informatyka;"
14;ACM Digital Rights Management Workshop [DRM];20;"informatyka techniczna i telekomunikacja;
informatyka;"
15;ACM Information Technology Education [SIGITE];20;"informatyka techniczna i telekomunikacja;
informatyka;"
16;ACM International Conference on Advances in Geographic Information Systems [SIGSPATIAL];140;"informatyka techniczna i telekomunikacja;
informatyka;"
17;ACM International Conference on Advances in Computer Entertainment [ACE];70;"informatyka techniczna i telekomunikacja;
informatyka;"
18;ACM International Conference on Emerging Networking Experiments and Technologies [CoNEXT];140;"informatyka techniczna i telekomunikacja;
informatyka;"
19;ACM International Conference on Information and Knowledge Management [CIKM];140;"informatyka techniczna i telekomunikacja;
informatyka;"
20;"ACM International Conference on Knowledge Discovery and Data Mining [KDD]
(ACM International Conference on Knowledge Discovery and Data Mining [SIGKDD])";200;"informatyka techniczna i telekomunikacja;
informatyka;"
21;ACM International Conference on Mobile Computing and Networking [MOBICOM];200;"informatyka techniczna i telekomunikacja;
informatyka;"
22;ACM International Conference on Recommender Systems [RecSys];70;"informatyka techniczna i telekomunikacja;
informatyka;"
23;ACM International Conference on Research and Development in Information Retrieval [SIGIR];200;"informatyka techniczna i telekomunikacja;
informatyka;"
24;ACM International Conference on Supercomputing [ICS];140;"informatyka techniczna i telekomunikacja;
informatyka;"
25;ACM International Conference on Web Search and Data Mining [WSDM];200;"informatyka techniczna i telekomunikacja;
informatyka;"
26;ACM International Symposium on Computer Architecture [ISCA];200;"informatyka techniczna i telekomunikacja;
informatyka;"
27;ACM International Symposium on High Performance Distributed Computing [HPDC];140;"informatyka techniczna i telekomunikacja;
informatyka;"
28;ACM International Wireless Communications and Mobile Computing Conference [IWCMC];70;"informatyka techniczna i telekomunikacja;
informatyka;"
29;ACM International Workshop On Multimedia Databases [MMDB];20;"informatyka techniczna i telekomunikacja;
informatyka;"
