{'journal': 'Sensors', 'title': 'Effect of Supplementation of Flour with Fruit Fiber on the Volatile Compound Profile in Bread', 'author': 'Robert Rusinek and Marzena Gawrysiak-Witulska and Aleksander Siger and Anna Oniszczuk and Aneta A. Ptaszyńska and Jarosław Knaga and Urszula Malaga-Toboła and Marek Gancarz', 'pages': '2812', 'number': '8', 'volume': '21', 'publisher': 'MDPI AG', 'month': 'apr', 'year': '2021', 'url': 'https://doi.org/10.3390%2Fs21082812', 'doi': '10.3390/s21082812', 'ENTRYTYPE': 'article', 'ID': 'gmj5dr', 'link': 'https://doi.org/10.3390/s21082812'}
{'journal': 'Processes', 'title': 'Optimisation of Energy Use in Bioethanol Production Using a Control Algorithm', 'author': 'Jarosław Knaga and Stanisław Lis and Sławomir Kurpaska and Piotr Łyszczarz and Marcin Tomasik', 'pages': '282', 'number': '2', 'volume': '9', 'publisher': 'MDPI AG', 'month': 'feb', 'year': '2021', 'url': 'https://doi.org/10.3390%2Fpr9020282', 'doi': '10.3390/pr9020282', 'ENTRYTYPE': 'article', 'ID': 'gmj5dt', 'link': 'https://doi.org/10.3390/pr9020282'}
{'journal': 'Sensors', 'title': 'The Comparison of Different Types of Heat Accumulators and Benefits of Their Use in Horticulture', 'author': 'Sławomir Kurpaska and Jarosław Knaga and Hubert Latała and Michał Cupiał and Paweł Konopacki and Ryszard Hołownicki', 'pages': '1417', 'number': '5', 'volume': '20', 'publisher': 'MDPI AG', 'month': 'mar', 'year': '2020', 'url': 'https://doi.org/10.3390%2Fs20051417', 'doi': '10.3390/s20051417', 'ENTRYTYPE': 'article', 'ID': 'gmj48j', 'link': 'https://doi.org/10.3390/s20051417'}
{'booktitle': '2019 Applications of Electromagnetics in Modern Engineering and Medicine (PTZE)', 'title': 'Analysis of selected electrical properties of biochar obtained by pyrolysis from energy plants', 'author': 'Marcin Tomasik and Jaroslaw Knaga and Tadeusz Juliszewski and Stanislaw Lis and Tomasz Szul', 'publisher': 'IEEE', 'month': 'jun', 'year': '2019', 'url': 'https://doi.org/10.23919%2Fptze.2019.8781695', 'doi': '10.23919/ptze.2019.8781695', 'ENTRYTYPE': 'inproceedings', 'ID': 'gmj5cx', 'link': 'https://doi.org/10.23919/PTZE.2019.8781695'}
{'booktitle': '2018 Applications of Electromagnetics in Modern Techniques and Medicine (PTZE)', 'title': 'Application of natural luminescence for assessment of hard coal quality', 'author': 'Gliniak Maciej and Tomasik Marcin and Popardowski Ernest and Knaga Jaroslaw and Lis Anna and Gliniak Matylda', 'publisher': 'IEEE', 'month': 'sep', 'year': '2018', 'url': 'https://doi.org/10.1109%2Fptze.2018.8503134', 'doi': '10.1109/ptze.2018.8503134', 'ENTRYTYPE': 'inproceedings', 'ID': 'gmj5bp', 'link': 'https://doi.org/10.1109/PTZE.2018.8503134'}
{'booktitle': '2018 Applications of Electromagnetics in Modern Techniques and Medicine (PTZE)', 'title': 'Application of natural luminescence for analysis of the radionuclide migration path during hard coal combustion', 'author': 'Gliniak Maciej and Tomasik Marcin and Popardowski Ernest and Knaga Jaroslaw and Lis Anna and Gliniak Matylda', 'publisher': 'IEEE', 'month': 'sep', 'year': '2018', 'url': 'https://doi.org/10.1109%2Fptze.2018.8503245', 'doi': '10.1109/ptze.2018.8503245', 'ENTRYTYPE': 'inproceedings', 'ID': 'gmj5bq', 'link': 'https://doi.org/10.1109/PTZE.2018.8503245'}
{'booktitle': '2018 Applications of Electromagnetics in Modern Techniques and Medicine (PTZE)', 'title': 'Analysis of the effectiveness of the prototype PV tracking system', 'author': 'Tomasik Marcin and Knaga Jaroslaw and Lis Stanislaw and Gliniak Maciej', 'publisher': 'IEEE', 'month': 'sep', 'year': '2018', 'url': 'https://doi.org/10.1109%2Fptze.2018.8503095', 'doi': '10.1109/ptze.2018.8503095', 'ENTRYTYPE': 'inproceedings', 'ID': 'gmj5br', 'link': 'https://doi.org/10.1109/PTZE.2018.8503095'}
{'journal': 'Eastern-European Journal of Enterprise Technologies', 'title': 'Substantiation of the effectiveness of using a flat mirror concentrator in the solar dryer', 'author': 'Jaroslaw Knaga and Andriy Tatomyr and Mykhailo Babych and Serhiy Korobka', 'pages': '10--15', 'number': '8 (89)', 'volume': '5', 'publisher': 'Private Company Technology Center', 'month': 'oct', 'year': '2017', 'url': 'https://doi.org/10.15587%2F1729-4061.2017.112206', 'doi': '10.15587/1729-4061.2017.112206', 'ENTRYTYPE': 'article', 'ID': 'gmj5dv', 'link': 'https://doi.org/10.15587/1729-4061.2017.112206'}
{'booktitle': '2019 Applications of Electromagnetics in Modern Engineering and Medicine (PTZE)', 'title': 'Analysis of selected electrical properties of biochar obtained by pyrolysis from energy plants', 'author': 'Marcin Tomasik and Jaroslaw Knaga and Tadeusz Juliszewski and Stanislaw Lis and Tomasz Szul', 'publisher': 'IEEE', 'month': 'jun', 'year': '2019', 'url': 'https://doi.org/10.23919%2Fptze.2019.8781695', 'doi': '10.23919/ptze.2019.8781695', 'ENTRYTYPE': 'inproceedings', 'ID': 'gmj5cx', 'link': 'https://doi.org/10.23919/PTZE.2019.8781695'}
{'booktitle': '2018 Applications of Electromagnetics in Modern Techniques and Medicine (PTZE)', 'title': 'Application of natural luminescence for assessment of hard coal quality', 'author': 'Gliniak Maciej and Tomasik Marcin and Popardowski Ernest and Knaga Jaroslaw and Lis Anna and Gliniak Matylda', 'publisher': 'IEEE', 'month': 'sep', 'year': '2018', 'url': 'https://doi.org/10.1109%2Fptze.2018.8503134', 'doi': '10.1109/ptze.2018.8503134', 'ENTRYTYPE': 'inproceedings', 'ID': 'gmj5bp', 'link': 'https://doi.org/10.1109/PTZE.2018.8503134'}
{'booktitle': '2018 Applications of Electromagnetics in Modern Techniques and Medicine (PTZE)', 'title': 'Application of natural luminescence for analysis of the radionuclide migration path during hard coal combustion', 'author': 'Gliniak Maciej and Tomasik Marcin and Popardowski Ernest and Knaga Jaroslaw and Lis Anna and Gliniak Matylda', 'publisher': 'IEEE', 'month': 'sep', 'year': '2018', 'url': 'https://doi.org/10.1109%2Fptze.2018.8503245', 'doi': '10.1109/ptze.2018.8503245', 'ENTRYTYPE': 'inproceedings', 'ID': 'gmj5bq', 'link': 'https://doi.org/10.1109/PTZE.2018.8503245'}
{'booktitle': '2018 Applications of Electromagnetics in Modern Techniques and Medicine (PTZE)', 'title': 'Analysis of the effectiveness of the prototype PV tracking system', 'author': 'Tomasik Marcin and Knaga Jaroslaw and Lis Stanislaw and Gliniak Maciej', 'publisher': 'IEEE', 'month': 'sep', 'year': '2018', 'url': 'https://doi.org/10.1109%2Fptze.2018.8503095', 'doi': '10.1109/ptze.2018.8503095', 'ENTRYTYPE': 'inproceedings', 'ID': 'gmj5br', 'link': 'https://doi.org/10.1109/PTZE.2018.8503095'}
{'booktitle': '2019 Applications of Electromagnetics in Modern Engineering and Medicine (PTZE)', 'title': 'Analysis of selected electrical properties of biochar obtained by pyrolysis from energy plants', 'author': 'Marcin Tomasik and Jaroslaw Knaga and Tadeusz Juliszewski and Stanislaw Lis and Tomasz Szul', 'publisher': 'IEEE', 'month': 'jun', 'year': '2019', 'url': 'https://doi.org/10.23919%2Fptze.2019.8781695', 'doi': '10.23919/ptze.2019.8781695', 'ENTRYTYPE': 'inproceedings', 'ID': 'gmj5cx', 'link': 'https://doi.org/10.23919/PTZE.2019.8781695'}
{'booktitle': '2018 Applications of Electromagnetics in Modern Techniques and Medicine (PTZE)', 'title': 'Application of natural luminescence for assessment of hard coal quality', 'author': 'Gliniak Maciej and Tomasik Marcin and Popardowski Ernest and Knaga Jaroslaw and Lis Anna and Gliniak Matylda', 'publisher': 'IEEE', 'month': 'sep', 'year': '2018', 'url': 'https://doi.org/10.1109%2Fptze.2018.8503134', 'doi': '10.1109/ptze.2018.8503134', 'ENTRYTYPE': 'inproceedings', 'ID': 'gmj5bp', 'link': 'https://doi.org/10.1109/PTZE.2018.8503134'}
